matchId,tier,rank
NA1_5341570396,PLATINUM,I
NA1_5340712939,PLATINUM,I
NA1_5340028484,PLATINUM,I
NA1_5340013251,PLATINUM,I
NA1_5339215602,PLATINUM,I
NA1_5339206754,PLATINUM,I
NA1_5338305414,PLATINUM,I
NA1_5338280616,PLATINUM,I
NA1_5335324236,PLATINUM,I
NA1_5334497448,PLATINUM,I
NA1_5329040963,PLATINUM,I
NA1_5329033497,PLATINUM,I
NA1_5328362194,PLATINUM,I
NA1_5328355750,PLATINUM,I
NA1_5327699723,PLATINUM,I
NA1_5351291681,PLATINUM,I
NA1_5351280309,PLATINUM,I
NA1_5351262655,PLATINUM,I
NA1_5351252475,PLATINUM,I
NA1_5350766726,PLATINUM,I
NA1_5350757289,PLATINUM,I
NA1_5350743615,PLATINUM,I
NA1_5350720406,PLATINUM,I
NA1_5350448312,PLATINUM,I
NA1_5350431375,PLATINUM,I
NA1_5350419476,PLATINUM,I
NA1_5349846319,PLATINUM,I
NA1_5349835795,PLATINUM,I
NA1_5348425285,PLATINUM,I
NA1_5348404535,PLATINUM,I
NA1_5348392144,PLATINUM,I
NA1_5347644433,PLATINUM,I
NA1_5347632929,PLATINUM,I
NA1_5347615646,PLATINUM,I
NA1_5344011041,PLATINUM,I
NA1_5343993776,PLATINUM,I
NA1_5343510108,PLATINUM,I
NA1_5343477496,PLATINUM,I
NA1_5343451458,PLATINUM,I
NA1_5343423529,PLATINUM,I
NA1_5343411858,PLATINUM,I
NA1_5343390161,PLATINUM,I
NA1_5343365620,PLATINUM,I
NA1_5343342192,PLATINUM,I
NA1_5343325592,PLATINUM,I
NA1_5342602234,PLATINUM,I
NA1_5342580962,PLATINUM,I
NA1_5342576003,PLATINUM,I
NA1_5341608577,PLATINUM,I
NA1_5341604489,PLATINUM,I
NA1_5341254110,PLATINUM,I
NA1_5341190539,PLATINUM,I
NA1_5341169850,PLATINUM,I
NA1_5341142316,PLATINUM,I
NA1_5341129139,EMERALD,II
NA1_5341102447,PLATINUM,I
NA1_5341078415,PLATINUM,I
NA1_5340915507,PLATINUM,I
NA1_5340900708,PLATINUM,I
NA1_5340890164,PLATINUM,I
NA1_5340453324,PLATINUM,I
NA1_5340414501,PLATINUM,I
NA1_5340375593,PLATINUM,I
NA1_5340351268,PLATINUM,I
NA1_5340325958,PLATINUM,I
NA1_5340299620,PLATINUM,I
NA1_5340087879,PLATINUM,I
NA1_5340083793,PLATINUM,I
NA1_5340076148,PLATINUM,I
NA1_5340068196,PLATINUM,I
NA1_5340060487,PLATINUM,I
NA1_5340055204,PLATINUM,I
NA1_5338598189,PLATINUM,I
NA1_5338576601,PLATINUM,I
NA1_5337873187,PLATINUM,I
NA1_5337844767,PLATINUM,I
NA1_5337819906,PLATINUM,I
NA1_5337756625,PLATINUM,III
NA1_5337738211,PLATINUM,I
NA1_5337336439,PLATINUM,I
NA1_5337305799,PLATINUM,I
NA1_5337267194,PLATINUM,I
NA1_5337230465,PLATINUM,I
NA1_5337196272,PLATINUM,I
NA1_5337168019,PLATINUM,I
NA1_5337130521,PLATINUM,I
NA1_5337115771,PLATINUM,I
NA1_5337082719,PLATINUM,I
NA1_5337079246,PLATINUM,I
NA1_5337049793,PLATINUM,I
NA1_5337020690,PLATINUM,I
NA1_5336999319,PLATINUM,I
NA1_5327855459,PLATINUM,I
NA1_5327838615,PLATINUM,I
NA1_5327828740,PLATINUM,I
NA1_5327812643,PLATINUM,I
NA1_5327802605,PLATINUM,I
NA1_5338614841,PLATINUM,I
NA1_5338587598,PLATINUM,I
NA1_5338576512,PLATINUM,I
NA1_5338450179,PLATINUM,I
NA1_5338440837,PLATINUM,I
NA1_5338763668,PLATINUM,I
NA1_5334323194,PLATINUM,I
NA1_5332305760,PLATINUM,I
NA1_5328303499,PLATINUM,I
NA1_5328284633,PLATINUM,I
NA1_5336053589,PLATINUM,I
NA1_5336034426,PLATINUM,I
NA1_5336016639,PLATINUM,I
NA1_5336631248,PLATINUM,I
NA1_5336603424,PLATINUM,I
NA1_5335009141,PLATINUM,I
NA1_5334981166,PLATINUM,I
NA1_5334964943,PLATINUM,I
NA1_5334942305,PLATINUM,I
NA1_5334441500,PLATINUM,I
NA1_5334424721,PLATINUM,I
NA1_5334410769,PLATINUM,I
NA1_5334385281,PLATINUM,I
NA1_5334367334,PLATINUM,I
NA1_5333900782,PLATINUM,I
NA1_5333888620,PLATINUM,I
NA1_5333879796,PLATINUM,I
NA1_5333860912,PLATINUM,I
NA1_5333844181,PLATINUM,I
NA1_5333627126,PLATINUM,I
NA1_5351350283,PLATINUM,I
NA1_5351335529,PLATINUM,I
NA1_5351318214,PLATINUM,I
NA1_5351307052,PLATINUM,I
NA1_5351286417,PLATINUM,I
NA1_5351278323,PLATINUM,I
NA1_5350634119,PLATINUM,I
NA1_5350619202,PLATINUM,I
NA1_5350599583,PLATINUM,I
NA1_5350148204,PLATINUM,I
NA1_5350105970,MASTER,I
NA1_5349160503,PLATINUM,I
NA1_5344790211,PLATINUM,I
NA1_5344769738,PLATINUM,I
NA1_5334785751,PLATINUM,I
NA1_5334758913,PLATINUM,I
NA1_5342770721,PLATINUM,I
NA1_5342727602,EMERALD,IV
NA1_5336074291,PLATINUM,I
NA1_5336052501,PLATINUM,I
NA1_5348662424,PLATINUM,I
NA1_5347720323,DIAMOND,IV
NA1_5347405977,PLATINUM,I
NA1_5347364346,PLATINUM,I
NA1_5347329698,PLATINUM,I
NA1_5347223172,PLATINUM,I
NA1_5347186437,PLATINUM,I
NA1_5347159360,PLATINUM,I
NA1_5347131945,PLATINUM,I
NA1_5347109118,PLATINUM,I
NA1_5347080721,PLATINUM,I
NA1_5346294093,PLATINUM,I
NA1_5345578287,PLATINUM,I
NA1_5341789647,PLATINUM,I
NA1_5341772722,PLATINUM,I
NA1_5339908056,PLATINUM,I
NA1_5348906373,PLATINUM,I
NA1_5348884398,PLATINUM,I
NA1_5348104558,PLATINUM,I
NA1_5348075292,PLATINUM,I
NA1_5345137597,PLATINUM,I
NA1_5344518531,PLATINUM,I
NA1_5343727750,PLATINUM,I
NA1_5343705007,PLATINUM,I
NA1_5329891252,PLATINUM,I
NA1_5329874096,PLATINUM,I
NA1_5329854749,PLATINUM,I
