puuid,rank
nsomGQm69dq2Lr4TjTxnu2QZ2EnqCVxczlJJGC_m5QumapgbrKBqPwVUbVuc1Z0Mi0xEFfifgfJN1w,SILVER I
lGU1hbH6Rnw3oNYv-6tPfVTcSxgrq6e1nJCc-XoHHjB4-HHU1Hbt8swohfYQDpQEcc_2LReAxN0dTw,GOLD II
1wuqzpHpi_19Ff2tvs1O2FwoC-cxBH3ASbU8OTkPTVmgcLEk5nYcHKEgKZi9J2cMoV8_SZc1ltiWFg,SILVER II
YUtjT-JXi34QjKm6g_FMIMPMhAEi2ditMYe-Zkp7vSDMmFKLco968UNcEoG-t77AmgV7anSfYVKvpg,GOLD IV
OhtyHoNxJ6YUGULjsStQ_IzvfpTEwslQCceVNZyWJ3YS9eClPcbop_6UzzM24tvHDXRTWhc-ARxR5w,GOLD IV
AtFENtgkI4NzNcjxKSrs99Qb76VWqt0A79YDocHjfWfRFovf36FzOW5FVOZIfT-vqn1LKM0zqsC2xw,GOLD IV
gQLme-_luIQgPCyKCc1gkQJku3cnQbgXta_St8lEMXUSJP6XDR2RfHgzTMdQ_WzDtp6WkLfVpUvXhw,SILVER II
OGThtdekgOTKQ_9QPZ5Hm6tUUwT8AAv-xsQSRiJhxyM9JK-Eiou_QL85XO5YiUDpSTd0_uh99O7sMQ,GOLD IV
TsfforG9Oa-Zq0qI9N80OwXyBy7_t8VlGq72DRGkCjewH2ebmsrEp7o0cqZ0HOlgron6h6DaoURA2Q,SILVER II
YZTj14LoVlBO4NaE2DZLMKCCmItsZLGKjhLN3Epl_We2cagKfK3og_yVUDGWnhWZh9XGtmjuUqCnaw,SILVER II
ba9vAA8dmrO7X7CNAq7dJxA5sXfRn9jBeTPVTMzkF9geS4ahhl7S0ruTMxYpSMtqIAQEy9MCmSywvg,BRONZE II
CRH79yo6HZHlQlmOwVzPU9fVs4KF211ihpwlkhysUw_RGK3YA7XBG0Rg4X00AL6gVPIsAPApQTyXPA,SILVER IV
sWlYQ3iozW9LgCPCwGuO-lNrYBRBDytbpPp4tW-DM6MVHHNo6odi4MJty7HlruWyLiV5kQwJoV5swg,UNRANKED
A4nbb8Md4dzYKb81n7X9uv9Kxwppg5u5u8q569fgFaefgzfqV_lshneM9syezIADEyDtuGIXMu-AQA,SILVER III
EDTSSW3iIbUApOk9ifa7c3gJHeiexBF6tOqzsfOtFUkR39XIP_SHqQWbUF6dfjhnuuPZf38ZDSFaMQ,SILVER IV
5pnZ7xMwVh1yj02kgm5xSqVOWakFnBKxAE3aTS6te-j_C0yr-eSU9LUwnLJdR_b7p9aWky8T4pOHmg,SILVER IV
aki6ysfpC7evPybOgHhOfLYKQN2m5v7bSc4Nl_YxFHNjRzjmYx4NoQfYMyjvVPKal-amVR6VF0iWGw,SILVER III
ZTIwXI9MJb-ex9W6aE8eO7Ehn2G4ITmw4fNXK9MDLsvvsNR_LV2Xsczvrazp5AkuuCdM_Wsuymvm6A,SILVER III
2caKkbIGYrbPnn5UBpTGYunXLe3DY16FmP56SPZZAS9sk76Jy_9iR_1ZQrFNpoupfH82uXir2xSmaw,SILVER II
NI-iAI8H50Oe7FBDQwUwNP6VYtPQsZ0MKM5CYirFQdrtzcl3wqzRkCHc3IQxw0-3jYQf10OeOdm07Q,BRONZE II
w03lAL8d6EkN-euWg_MlOrav4TMS9Ep4iWSLKEPU8BpOfFjLDGjsjWi0uN8PPK_tKiEb577d-Ae20w,SILVER IV
y22OaH4OG7ozq3w6bexR-flaKcfu3eIEjyRywh1eFH7w601lKzlQucZaY024EStQMqmhrfb_liRIkw,UNRANKED
jwIihXABSKAHT7f8sIibV4M8fuCAuf27wjrSxV5bt1q1sRRL9B_AlVHI2E7OOgCvmz8fyuAeU44Nqg,SILVER IV
Hj8NMnWxmxWRq9nZ638uvKDdIPHqsVorUYh6HBzZVo3pCpqgIsFfxzZnV_8Nxi-1fvdt-Wr00KR3kA,SILVER I
Z1h9CNbWbkg505lTlY3wmU4ZXAKqdFZ-1WP3wNQe0mB3pSZuH4nCH-cHUFZE97YNKX9XsC5gySYVYg,BRONZE III
niRZbnLkfYJUvwAL05Mk-OfDb3REiz1uU4wfbKKUTg9kzlXdL0fhYJme8uwsFEAgDvR71IU7HmoNTg,SILVER II
MCYg1iUL_4sVIofQUIPkOl5TCkRyEvfyFicFpRWluqZQYaw5MJOn3a2DMlSPk24XR847hmZUulWdDA,SILVER I
-ISJYKgIjJ5-bWLAen6zwjHcyGNFweT8umPdwYrP2_RAD6Cb_0dkgOhokJg3haD-w7K4iame_RpR0Q,GOLD IV
EwAJ8ZIls8RDAr3OuaudJh3qyfubfQzbswgtuwE8nYOCp3mAdRdaZVodENIj6IYPZUt7gbmdFPHkTg,SILVER I
aHVEtp-oL-lLaHXhlniv983ggaizqYDCbaovrCmTcsc6Ntz6KIKeiQHPFRtFx0546WY-BjhcvwaU1A,SILVER III
BK51n1Rb_mhjuP6MXvmN2fENVoqAlY-bAlfyoCk-rQhC_e6sxK788psV7oYU9but7GGnP03qj86_fw,SILVER II
824ZqRUoqxHxqJ9Fd9dmnRVZA5Byy9YZe6BlftriccJ6Ajv7JxL3ad99-GdgoC9BzP1WkNipWhSPgg,SILVER II
hlmxz2ibdOOjkVaUlB6UhbgXnS8OnSPBGSKDxRFuE_8ygFpdFNd2c47vavsNCjeY3YaimZZhmjV16w,SILVER II
kfpkbDbhROgRys_kTZfCNq3Vd7kp1LWyFKkKX1NlZ1VStCnp6mEuXFvRyqQJBenXJeM6xqaiGg399A,SILVER I
CCC7pfnPyPYNwv2C_OlfV7-wobymGYjApeEE96qFPeq62ko-yMTIZFptQNuQJm8xwHU4q5mBO2a7cg,GOLD IV
xGP3ili1uaJJCtQ-OKpFNYLLlI7RexUUwwbwWmEkAsoqi0NsNhW7Yf1m4R-h3GOhxxTRLVjpFgYWXA,SILVER II
nhpqm2SRKfJs6G3Yik8oyeiF0OFe3sJ5B-N61mDWzQ8Te_Kv-x2Z5rQEbc606I7sVAd2-58G5mBBtg,GOLD IV
awJjYX3FbDd883ex2mdy2tTpm-xA5icP-zNq7QULLuyTwB4pOXdOkEOUeEkAfHAeSOH6dJ4dGt0k-A,SILVER I
uW8Bc328CavjRlEowpozsdEVxoVczN-0NzaY_3yOs3VqgRjDjsBMgdmYCu-p1HD3X3NrKXhpO79_ZQ,SILVER I
dvkDN2VIO9aPm_wfmWU5s9Z3P3ThrjqOIV_N3TBaS59XWLOMX7Qm_Cmt--lylDK9S9BOrs2fPZFukA,SILVER I
3AlVkN2OzdxVMIDF70_LGCKTsJNyPggN9Fw9HztS-8-f2kOOxexr7LtVM9z_d_NMwDxj6K1V5ssVHg,GOLD III
96QcqHrGXJUoHE_08zv7HYS352guEb4icUrncX_5U7Rc6Gw-Kg0BRLYIRtDbVRCE60vUzseX7iW8jg,SILVER II
FeUlV88K-F0YjdQkuW3_6oS9aEwNL7kCl2j_7c94rXB4Ou4aLXgXZZ4YBMg2i94l6DFWOlJjMBpgbg,GOLD IV
Om0bDtec8XGLM8B2x_V-NeEQcJD7PNS0t7YjuizLnc_s4Ibi3YuFRdC9Uuhlu1LpUIl6Z2MkgE69jw,SILVER I
X1Se6y_7KsbhN3l5pQbeF75yocWX7ddv5hSX2YW0tp0gSxdiYFBVcr5FU-wteyt1wf_ShjurcJ-0mg,SILVER I
D9widVfh-kg5lBNXRmHPdZ-XrL9JLn6yxFb2KVW5-dc9vL_658os7z08U0HEFebmzI_r1rnFRADptA,GOLD IV
fV3GbKUIvjE4wkOoe4iUUirR6fWV1IFrZf6yqocjKwpm1MAQm2hC7gGhkyd2olvmQm-mcVp8xm-wDQ,GOLD IV
OwGH7Lt6qxcx6MZlTAuKG52qGgYjZO_gD2mzGtgK9BdOoBQ_qpcpkrvG4gxTUogc8KDZYbXzpULPMQ,SILVER II
w8QwOPPmd_mXGpeNQEUVJ2I2KjbJZPhb-iK6i46xrYMn7Zd98DpD7PYIEMdRTU924Dqt1AlK5YAGLg,SILVER I
ml0Y4giJeR5dtiojapEIcKAZyJASr5pXqODc7YW9ZyFA8rzidOiCG6qoOl0GZ3-O1YisIWYmiTpQhg,GOLD IV
pWzHaq4CYuUuvtXTugF1whXzF8yefGD0frlhQXK1W53jIkiCXwY4DCDcO4hFGjQkr_zaBpleEF-aMw,GOLD IV
_0p4FOBZxBcQklr8INMmhOdQhW-U9y7uQYwOGNP_y2cZweb_f0hWNIZ2idoeUMuABj5ayXjk82Ydrg,SILVER IV
XmYpJkrWeukObUzZjQP_D1-QokZfY5Shqfp1tLdopjLtYxK3ceAQDEGyq38nxuH2q4aZOf2B7zzCBw,GOLD IV
eUZo-MST_2oQHdtsi57R00nG4HxTr66nDa_JXH93H1i4Ly9kGHkupUB0qUY47f5n3Ii2SlKE3GdbJg,GOLD IV
A1cUPxpWCAUXQHb6W5MpnGSI86WG5DCetDNtPcbW2Ww6yhvUR78RtRwqllf3Ddy5w0LTtkZFevwGWA,GOLD III
I4s-_efv642VfLn8BCzhKbQsuNAr2b5fOf4rx8IjBxU68Obe3Tf_pHU0BEPtqvuF1rBpaJTFRS-NJw,GOLD III
-V8OBCi1h0uEfi_cvGb4lsWtL4lARxyGCLcDS6pyzsQVd3iwI03FNMV_Xy6A3rALNHxjDSO76JEdeA,GOLD III
abjwlV9hPng3-1tRc3LDNGBmLzWXvBSuXQx2Xs30JQ5YB_mH8F9O07U_UiCcocXPbImAylFWAUbysg,GOLD III
